"id";"name";"type";"location";"city";"description";"ipadd";"site_code";"area_code";"tagline"
130;"RSUD Prambanan";"KK";"Komplek RSUD Prambanan, Jl. Prambanan - Piyungan KM. 7, Prambanan";"Sleman";"";"172.16.130.0/24";126;"040";""
131;"AM Sangaji";"KK";"Kompleks Kampus STIENUS Yogakarta, Jl. AM. Sangaji No. 49-51, Cokrodiningratan, Jetis";"Yogyakarta";"";"172.16.116.0/24";127;"006";""
132;"Samsat Galeria";"PP";"Galeria Mall Lantai 3, Jl. Jendral Sudirman No.99-101, Terban, Gondokusuman";"Yogyakarta";"";"";128;"006";"samsat galeria mall"
133;"Taspen";"KK";"Kompleks Kantor PT. Taspen Cabang Yogyakarta, Jl. Ipda Tut Harasono No.55, Timoho ";"Yogyakarta";"";"172.16.124.0/24";129;"006";""
134;"Pajangan";"KK";"Jl. Raya Pajangan, Ds. Benyo, Sendangsari, Pajangan";"Bantul";"";"172.16.121.0/24";130;"004";""
135;"Pantirapih";"KK";"Komplek RS Panti Rapih, Jl. Cik Ditiro No. 30, Terban, Gondokusuman";"Yogyakarta";"";"172.16.122.0/24";131;"006";""
136;"Tugu Pensil";"KK";"Jl. Wates Km. 25, Karangan, Kedungsari, Pengasih";"Kulon Progo";"";"172.16.126.0/24";134;"023";"tugu pensil brosot sentolo"
137;"Yap";"KK";"RS Mata Dr. Yap Yogyakarta, Jl. Cik Ditiro No. 5, Gondokusuman";"Yogyakarta";"";"172.16.78.0/24";135;"006";"rs dr yap"
138;"UST";"KK";"Jl. Kusumanegara No. 157, Umbulharjo";"Yogyakarta";"";"172.16.129.0/24";141;"001";"universitas sarjanawiyata tamansiswa"
139;"Akprind";"KK";"Jl. Kalisahak No.28, Klitren, Gondokusuman";"Yogyakarta";"";"172.16.134.0/24";144;"001";"akademi perindustrian"
140;"UTY";"KK";"Jl. Ringroad Utara, Jombor, Sendangadi Mlati Sleman";"Yogyakarta";"";"172.16.135.0/24";145;"006";"universitas teknologi yogyakarta"
141;"RS Pratama";"KK";"Jl. Kolonel Sugiono No 98, Karanganyar, Mergangsan, Yogyakarta";"Yogyakarta";"";"172.16.136.0/24";146;"006";"rs pratama kota "
142;"Samsat Dishub Sleman";"PP";"Drono, Tridadi";"Sleman";"";"";147;"005";""
143;"Samsat Desa Banyurejo";"PP";"Kemusuh, Banyurejo, Tempel";"Sleman";"";"";148;"005";""
144;"UUS";"DIV";"Jl. Cik Di Tiro No.34, Terban, Gondokusuman";"Yogyakarta";"";"172.16.69.0/24";800;"000";"unit usaha syariah"
145;"Syariah";"KC";"Jl. Cik Di Tiro No.34, Terban, Gondokusuman";"Yogyakarta";"";"172.16.69.0/24";801;801;"utama syariah"
146;"AMC";"KK";"Gedung Asri Medical Center, Jl. HOS Cokroaminoto No 17, Wirobrajan";"Yogyakarta";"";"172.16.82.0/24";802;801;""
147;"Krapyak";"KK";"Jl. D.I. Panjaitan No. 132, Krapyak";"Yogyakarta";"";"172.16.93.0/24";803;801;""
148;"Kusumanegara";"KK";"Jl. Kusumanegara No 143, Muja Muju, Umbulharjo";"Yogyakarta";"";"172.16.94.0/24";804;801;""
