"id";"ipadd1";"ipadd2";"isp";"bandwidth";"media";"services";"status";"ipadd_others";"vrf_name";"links_name";"sites1_id";"sites2_id";"isp_link_id";"input_date"
21;"10.117.6.186/30";"10.117.6.185/30";"Telkom";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"DPB-Telkom";112;3;"";"2018-11-30 03:47:53.225845"
22;"10.111.1.218/30";"10.111.1.217/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Widyamataram-Lintasarta";65;1;"";"2018-11-30 03:47:53.225845"
23;"10.115.1.238/30";"10.115.1.237/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Playen-ICON";17;2;"";"2018-11-30 03:47:53.225845"
24;"10.117.1.238/30";"10.117.1.237/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Playen-Telkom";17;3;"";"2018-11-30 03:47:53.225845"
25;"10.111.1.230/30";"10.111.1.229/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Semanu-Lintasarta";20;1;"";"2018-11-30 03:47:53.225845"
26;"10.111.1.234/30";"10.111.1.233/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Ponjong-Lintasarta";19;1;"";"2018-11-30 03:47:53.225845"
27;"10.115.1.54/30";"10.115.1.53/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Dekso-ICON";31;2;"";"2018-11-30 03:47:53.225845"
28;"10.115.1.186/30";"10.115.1.185/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Sentolo-ICON";27;2;"";"2018-11-30 03:47:53.225845"
29;"10.117.1.186/30";"10.117.1.185/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Sentolo-Telkom";27;3;"";"2018-11-30 03:47:53.225845"
30;"10.115.1.206/30";"10.115.1.205/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Temon-ICON";28;2;"";"2018-11-30 03:47:53.225845"
31;"10.117.1.206/30";"10.117.1.205/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Temon-Telkom";28;3;"";"2018-11-30 03:47:53.225845"
32;"10.111.1.110/30";"10.111.1.109/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Prambanan-Lintasarta";101;1;"";"2018-11-30 03:47:53.225845"
33;"10.115.1.110/30";"10.115.1.109/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Prambanan-ICON";101;2;"";"2018-11-30 03:47:53.225845"
34;"10.111.1.38/30";"10.111.1.37/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Wonosari-Lintasarta";6;1;"";"2018-11-30 03:47:53.225845"
35;"10.117.1.38/30";"10.117.1.37/30";"Telkom";512;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Wonosari-Telkom";6;3;"";"2018-11-30 03:47:53.225845"
36;"10.111.1.226/30";"10.111.1.225/30";"Lintasarta";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Karangmojo-Lintasarta";16;1;"";"2018-11-30 03:47:53.225845"
37;"10.117.1.226/30";"10.117.1.225/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Karangmojo-Telkom";16;3;"";"2018-11-30 03:47:53.225845"
38;"10.117.1.34/30";"10.117.1.33/30";"Telkom";512;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Wates-Telkom";7;3;"";"2018-11-30 03:47:53.225845"
39;"10.115.1.34/30";"10.115.1.33/30";"ICON";512;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Wates-ICON";7;2;"";"2018-11-30 03:47:53.225845"
40;"10.111.5.26/30";"10.111.5.25/30";"Lintasarta";512;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Sleman-Lintasarta";9;1;"";"2018-11-30 03:47:53.225845"
41;"10.117.5.26/30";"10.117.5.25/30";"Telkom";512;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Sleman-Telkom";9;3;"";"2018-11-30 03:47:53.225845"
42;"10.111.1.90/30";"10.111.1.89/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Godean-Lintasarta";47;1;"";"2018-11-30 03:47:53.225845"
43;"10.117.1.90/30";"10.117.1.89/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Godean-Telkom";47;3;"";"2018-11-30 03:47:53.225845"
44;"10.111.1.106/30";"10.111.1.105/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Pakem-Lintasarta";45;1;"";"2018-11-30 03:47:53.225845"
45;"10.117.1.106/30";"10.117.1.105/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Pakem-Telkom";45;3;"";"2018-11-30 03:47:53.225845"
46;"10.111.1.26/30";"10.111.1.25/30";"Lintasarta";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Condongcatur-Lintasarta";46;1;"";"2018-11-30 03:47:53.225845"
47;"10.117.1.26/30";"10.117.1.25/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Condongcatur-Telkom";46;3;"";"2018-11-30 03:47:53.225845"
48;"10.111.1.94/30";"10.111.1.93/30";"Lintasarta";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Gamping-Lintasarta";48;1;"";"2018-11-30 03:47:53.225845"
49;"10.115.1.94/30";"10.115.1.93/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Gamping-ICON";48;2;"";"2018-11-30 03:47:53.225845"
50;"10.111.1.130/30";"10.111.1.129/30";"Lintasarta";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Mlati-Lintasarta";51;1;"";"2018-11-30 03:47:53.225845"
51;"10.115.1.130/30";"10.115.1.129/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Mlati-ICON";51;2;"";"2018-11-30 03:47:53.225845"
52;"10.111.1.114/30";"10.111.1.113/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Maguwoharjo-Lintasarta";53;1;"";"2018-11-30 03:47:53.225845"
53;"10.115.1.114/30";"10.115.1.113/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Maguwoharjo-ICON";53;2;"";"2018-11-30 03:47:53.225845"
54;"10.111.1.214/30";"10.111.1.213/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Ngaglik-Lintasarta";52;1;"";"2018-11-30 03:47:53.225845"
55;"10.115.1.214/30";"10.115.1.213/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Ngaglik-ICON";52;2;"";"2018-11-30 03:47:53.225845"
56;"10.117.1.138/30";"10.117.1.137/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Tempel-Telkom";50;3;"";"2018-11-30 03:47:53.225845"
